Id	Score
Identity theft	1.66667
Daniel J. Bernstein	1.66667
Internet access	1.66667
Traffic analysis	1.66667
Cryptographic protocol	1.66667
LinkedIn	1.66667
F-Secure	1.66667
Keith B. Alexander	1.66667
Metasploit Project	1.66667
Common Vulnerabilities and Exposures	1.66667
Data breach	1.66667
Payload (computing)	1.66667
Presidency of Barack Obama	1.66667
Ken Thompson	1.66667
Big data	1.66667
Security information and event management	1.66667
W3af	1.66667
Security service (telecommunication)	1.66667
Mobile security	1.66667
Joseph Steinberg	1.66667
Peter Gutmann (computer scientist)	1.5
Open security	1.5
Insider threat	1.5
Lawrence A. Gordon	1.5
Apple Inc.	1.33333
HTTPS	1.33333
Linux distribution	1.33333
Software testing	1.33333
IP address spoofing	1.33333
L4 microkernel family	1.33333
DEF CON	1.33333
Confused deputy problem	1.33333
CAPTCHA	1.33333
Computer Fraud and Abuse Act	1.33333
Biometrics	1.33333
Password cracking	1.33333
Spoofing attack	1.33333
Code review	1.33333
The Cuckoo's Egg	1.33333
Ian Goldberg	1.33333
White hat (computer security)	1.33333
Avast Software	1.33333
Personally identifiable information	1.33333
Markus Hess	1.33333
Security hacker	1.33333
Brian Krebs	1.33333
Privacy software	1.33333
Tablet computer	1.33333
Economics of security	1.33333
Responsible disclosure	1.33333
Cornell University	1.33333
Human–computer interaction (security)	1.33333
Zero-day (computing)	1.33333
Risk	1.33333
Risk factor (computing)	1.33333
LulzSec	1.33333
Carl Landwehr	1.33333
Office of Personnel Management data breach	1.33333
Hardware security	1.33333
Matt Blaze	1.16667
MySecureCyberspace	1.16667
Separation of protection and security	1.16667
Next Generation Air Transportation System	1.16667
Software Defined Perimeter	1.16667
Cyber hygiene	1.16667
Federal Bureau of Investigation	1.0
Russia	1.0
Vandalism	1.0
X Window System	1.0
Dictionary attack	1.0
Defensive programming	1.0
Free-space optical communication	1.0
Smartphone	1.0
JSTOR	1.0
Machine learning	1.0
Classified information	1.0
Directory service	1.0
Eavesdropping	1.0
Peter G. Neumann	1.0
Nmap	1.0
Edward Felten	1.0
Barack Obama	1.0
Richard A. Clarke	1.0
Hardening (computing)	1.0
Side-channel attack	1.0
Mandatory access control	1.0
Discretionary access control	1.0
FIPS 140-2	1.0
Evaluation Assurance Level	1.0
Disk encryption software	1.0
Rainbow Series	1.0
Software as a service	1.0
Page hijacking	1.0
MAC spoofing	1.0
Smart meter	1.0
Cryptographic primitive	1.0
Port (computer networking)	1.0
Information sensitivity	1.0
Apache Hadoop	1.0
Secure coding	1.0
Computer Security	1.0
IT risk management	1.0
HBGary	1.0
Moti Yung	1.0
Information technology	1.0
Identity-based security	1.0
Salvatore J. Stolfo	1.0
Usability of web authentication systems	1.0
Russian interference in the 2016 United States elections	1.0
Electrical disruptions caused by squirrels	1.0
Differentiated security	0.83333
Programmable logic controller	0.66667
Wireless network	0.66667
Password length parameter	0.66667
Trusted computing base	0.66667
Wassenaar Arrangement	0.66667
Embedded system	0.66667
Trusted system	0.66667
Federal Communications Commission	0.66667
United States Department of Homeland Security	0.66667
Trusted Computing	0.66667
Interpreter (computing)	0.66667
Access control list	0.66667
SCADA	0.66667
Wi-Fi	0.66667
OpenOffice.org	0.66667
Joe Lieberman	0.66667
Butler Lampson	0.66667
Dynamic DNS	0.66667
Screensaver	0.66667
Covert channel	0.66667
Stateful firewall	0.66667
Shellcode	0.66667
Unit testing	0.66667
Database administrator	0.66667
David A. Wagner	0.66667
Accenture	0.66667
RSA Security	0.66667
Promiscuous mode	0.66667
Timeline of computer security hacker history	0.66667
Personal firewall	0.66667
Rainbow Books	0.66667
Staples Inc.	0.66667
Laptop theft	0.66667
Technical surveillance counter-measures	0.66667
Donald Davies	0.66667
Alice and Bob	0.66667
Clifford Stoll	0.66667
Adversary (cryptography)	0.66667
Shafi Goldwasser	0.66667
Peter J. Denning	0.66667
Privilege separation	0.66667
Norton AntiVirus	0.66667
Google	0.66667
National Cyber Security Division	0.66667
Secure communication	0.66667
Federal Information Security Management Act of 2002	0.66667
RISKS Digest	0.66667
FIPS 140	0.66667
Network administrator	0.66667
Dorothy E. Denning	0.66667
Cult of the Dead Cow	0.66667
Reference monitor	0.66667
Logical security	0.66667
Xi Jinping	0.66667
Hacking: The Art of Exploitation	0.66667
Joint Task Force-Global Network Operations	0.66667
IT security	0.66667
Trusted Information Systems	0.66667
Mutual authentication	0.66667
Website defacement	0.66667
Protection ring	0.66667
Shoulder surfing (computer security)	0.66667
SecurityFocus	0.66667
Disk encryption hardware	0.66667
Narus (company)	0.66667
The Art of Intrusion	0.66667
PikeOS	0.66667
Physical information security	0.66667
Command and control	0.66667
Network segmentation	0.66667
Idle scan	0.66667
OSSEC	0.66667
Access badge	0.66667
Adam Back	0.66667
MPack (software)	0.66667
Bitdefender	0.66667
Information Systems Security Association	0.66667
Fast flux	0.66667
Johnny Long	0.66667
Einstein (US-CERT program)	0.66667
Bugtraq	0.66667
Information	0.66667
Network Security Toolkit	0.66667
Kernel (operating system)	0.66667
Canadian Cyber Incident Response Centre	0.66667
Computer security conference	0.66667
Engineering and Public Policy	0.66667
Asset (computer security)	0.66667
G Data Software	0.66667
Connected car	0.66667
Mandiant	0.66667
Information security indicators	0.66667
National Cyber Security Policy 2013	0.66667
Web application firewall	0.66667
OWASP ZAP	0.66667
Cyber-Insurance	0.66667
Tim Cook	0.66667
Endpoint security	0.66667
CrowdStrike	0.66667
Active Defense	0.66667
NIST Cybersecurity Framework	0.66667
Fake news website	0.66667
Car hacking	0.66667
RSA Conference	0.66667
Susan Nycum	0.5
Automated theorem proving	0.33333
Cipher	0.33333
Compact disc	0.33333
DNA	0.33333
Debit card	0.33333
Electronics	0.33333
Federal Aviation Administration	0.33333
Help desk	0.33333
Intellectual property	0.33333
Insulin pump	0.33333
IP address	0.33333
MAC address	0.33333
Passport	0.33333
Ping (networking utility)	0.33333
Self-replication	0.33333
Television	0.33333
Ukraine	0.33333
Phrack	0.33333
Audit trail	0.33333
Data integrity	0.33333
Los Angeles Pierce College	0.33333
Network packet	0.33333
Exit procedure	0.33333
Air traffic control	0.33333
Symmetric-key algorithm	0.33333
Cable modem	0.33333
Aviation	0.33333
David A. Wheeler	0.33333
Covert listening device	0.33333
Military	0.33333
Internet service provider	0.33333
The Washington Post	0.33333
Lance Cottrell	0.33333
DMZ (computing)	0.33333
Tempest (codename)	0.33333
Qmail	0.33333
Canadian Trusted Computer Product Evaluation Criteria	0.33333
Jonathan Zittrain	0.33333
Tsutomu Shimomura	0.33333
Software design	0.33333
Robert Morris (cryptographer)	0.33333
Formal verification	0.33333
Root certificate	0.33333
Personal identification number	0.33333
Tiger team	0.33333
Staog	0.33333
Challenge–response authentication	0.33333
Capability (computers)	0.33333
Client-side	0.33333
Whitfield Diffie	0.33333
Race condition	0.33333
LinuxQuestions.org	0.33333
Memory protection	0.33333
Undefined behavior	0.33333
Backup	0.33333
Key server (cryptographic)	0.33333
Mobile computing	0.33333
Government Communications Security Bureau	0.33333
Security-focused operating system	0.33333
MILNET	0.33333
QR code	0.33333
InfraGard	0.33333
Address space layout randomization	0.33333
Application firewall	0.33333
Multilevel security	0.33333
Amit Yoran	0.33333
Least privilege	0.33333
Object identifier	0.33333
Red/black concept	0.33333
Wireless sensor network	0.33333
Markus Kuhn (computer scientist)	0.33333
Honeytoken	0.33333
Computer case	0.33333
Global Information Assurance Certification	0.33333
Oxford Internet Institute	0.33333
Cheque	0.33333
Remote Shell	0.33333
Records management	0.33333
E (programming language)	0.33333
Trustworthy computing	0.33333
Robert Watson (computer scientist)	0.33333
Dan Farmer	0.33333
Anti-spyware	0.33333
Qatar Foundation	0.33333
Fault tolerance	0.33333
Fortinet	0.33333
Digital evidence	0.33333
Videotelephony	0.33333
Steven M. Bellovin	0.33333
Information Operations Condition	0.33333
Simson Garfinkel	0.33333
No Starch Press	0.33333
Brian LaMacchia	0.33333
Systems architect	0.33333
Collective Security Treaty Organization	0.33333
Volume licensing	0.33333
Cyberspace Electronic Security Act	0.33333
Barracuda Networks	0.33333
Security breach	0.33333
Security architecture	0.33333
Site Security Handbook	0.33333
Network Access Protection	0.33333
Secure by default	0.33333
Email spoofing	0.33333
Protocol spoofing	0.33333
List of mergers and acquisitions by Alphabet	0.33333
Federal Criminal Police Office (Germany)	0.33333
Information assurance vulnerability alert	0.33333
Federal Office for Information Security	0.33333
Privacy Rights Clearinghouse	0.33333
Lattice-based access control	0.33333
Take-grant protection model	0.33333
Chain of trust	0.33333
Social engineering (computer security)	0.33333
Software security assurance	0.33333
Network Access Control	0.33333
Honeyd	0.33333
Declan McCullagh	0.33333
E programming language	0.33333
Zeroday Emergency Response Team	0.33333
United States Department of Defense	0.33333
Roger R. Schell	0.33333
Computer Emergency Readiness Team	0.33333
Cross-domain solution	0.33333
Monica S. Lam	0.33333
Security community	0.33333
Common Vulnerability Scoring System	0.33333
TWiT.tv	0.33333
Martín Abadi	0.33333
Risk matrix	0.33333
Security information management	0.33333
Contingency plan	0.33333
Nikita Borisov	0.33333
Log management	0.33333
STRIDE (security)	0.33333
Institute for Information Infrastructure Protection	0.33333
Organisation-based access control	0.33333
Software vulnerability	0.33333
Handle (computing)	0.33333
Secure Computing Corporation	0.33333
Underground (Dreyfus book)	0.33333
Employee offboarding	0.33333
Security breaches	0.33333
Memory safety	0.33333
Hacking tool	0.33333
ManTech International	0.33333
Trusted timestamping	0.33333
Firewall (networking)	0.33333
Lorrie Cranor	0.33333
Jacob Appelbaum	0.33333
Device fingerprint	0.33333
Countersurveillance	0.33333
AT&T	0.33333
Black market	0.33333
CD-ROM	0.33333
The Guardian	0.33333
FireEye	0.33333
Social Security number	0.33333
Remote infrastructure management	0.33333
Cynthia Dwork	0.33333
List of international presidential trips made by Barack Obama	0.33333
SIEM	0.33333
Atomic authorization	0.33333
Moxie Marlinspike	0.33333
Presumed security	0.33333
Czar (political term)	0.33333
SeL4	0.33333
OpenSSH	0.33333
ELearnSecurity	0.33333
National Cyberdefence Centre	0.33333
Macau Computer Emergency Response Team Coordination Centre	0.33333
Vein matching	0.33333
HBGary Federal	0.33333
Cyber security and countermeasure	0.33333
Avast Antivirus	0.33333
User account	0.33333
Homeland Open Security Technology	0.33333
In-memory processing	0.33333
Intrusion Detection Message Exchange Format	0.33333
Qihoo 360	0.33333
Anti-tamper software	0.33333
Packet capture appliance	0.33333
Length extension attack	0.33333
TEMPEST	0.33333
Joan Feigenbaum	0.33333
Risk cybernetics	0.33333
PLA Unit 61398	0.33333
Computer access control	0.33333
Kill chain	0.33333
National Cyber Security Hall of Fame	0.33333
Buffer over-read	0.33333
Certified Penetration Testing Engineer	0.33333
Mile2	0.33333
Row hammer	0.33333
Parrot Security OS	0.33333
Potentially unwanted program	0.33333
National Cyber Security Centre (Ireland)	0.33333
National Cyber Security Centre (United Kingdom)	0.33333
Cyber-security	0.33333
Agence nationale de la sécurité des systèmes d'information	0.33333
List of security assessment tools	0.33333
Carnegie Mellon CyLab	0.33333
Automated threat	0.33333
Yahoo! data breaches	0.33333
Log management software	0.33333
Aviation Innovation, Reform, and Reauthorization (AIRR) Act	0.33333
Content Threat Removal	0.33333
