Id	LoopRank
Comparison of microblogging services	0.25
Simulated child pornography	0.25
BuzzFeed	0.25
Androgyny	0.25
Summer Wars	0.25
National Equality March	0.25
Windows 8	0.25
Sexting	0.25
Sources of the Self	0.25
Sport	0.25
Chatroulette	0.25
Non-player character	0.25
MySpace	0.25
Gender systems	0.25
NECA Project	0.25
Internet influences on communities	0.25
Woo Media	0.25
Chromebook	0.25
One Direction	0.25
Grand Theft Auto V	0.25
WebID	0.25
Silent protagonist	0.25
Kantara Initiative	0.25
Ready Player One	0.25
Stigma management	0.25
Microsoft account	0.25
Conflict-of-interest editing on Wikipedia	0.25
Social media and television	0.25
Information Operations (United States)	0.25
Milo Yiannopoulos	0.25
ResearchGate	0.25
Zumbl	0.25
Vine (service)	0.25
Selfie	0.25
List of Wikipedia controversies	0.25
Google Hangouts	0.25
2013 protests in Brazil	0.25
Fear of missing out	0.25
Reliance authentication	0.25
FIDO Alliance	0.25
Secret (app)	0.25
Transreality gaming	0.25
Anonymous social media	0.25
Identity 3.0	0.25
Ghostbusters (2016 film)	0.25
Black Lives Matter	0.25
BlaBlaCar	0.25
Digital Visitor and Resident	0.25
Cheddar (TV channel)	0.25
Sexual diversity	0.25
