Source	Target
General Data Protection Regulation	EPrivacy Regulation (European Union)
General Data Protection Regulation	European Parliament Committee on Civil Liberties, Justice and Home Affairs
General Data Protection Regulation	Google Spain v AEPD and Mario Costeja González
General Data Protection Regulation	Jan Philipp Albrecht
General Data Protection Regulation	National data protection authority
General Data Protection Regulation	NIS Directive
General Data Protection Regulation	Privacy by design
General Data Protection Regulation	Pseudonymization
General Data Protection Regulation	Regulation (European Union)
General Data Protection Regulation	Right to be forgotten
General Data Protection Regulation	Right to explanation
General Data Protection Regulation	Tokenization (data security)
Right to be forgotten	Article 29 Working Party
Right to be forgotten	Data Protection Directive
Right to be forgotten	General Data Protection Regulation
Right to be forgotten	Google Spain v AEPD and Mario Costeja González
Right to be forgotten	Information privacy
Right to be forgotten	International Safe Harbor Privacy Principles
National data protection authority	Commission nationale de l'informatique et des libertés
National data protection authority	Danish Data Protection Agency
National data protection authority	Data Protection Commissioner
National data protection authority	Data Protection Directive
National data protection authority	Information privacy
National data protection authority	Spanish Data Protection Agency
Google Spain v AEPD and Mario Costeja González	Article 29 Working Party
Google Spain v AEPD and Mario Costeja González	Data Protection Directive
Google Spain v AEPD and Mario Costeja González	Directive 95/46/EC
Google Spain v AEPD and Mario Costeja González	General Data Protection Regulation
Google Spain v AEPD and Mario Costeja González	Right to be forgotten
Google Spain v AEPD and Mario Costeja González	Spanish Data Protection Agency
Article 29 Working Party	Article 29 Data Protection Working Party
NIS Directive	Cyber-security regulation
Right to explanation	Data Protection Directive
Right to explanation	General Data Protection Regulation
EPrivacy Regulation (European Union)	Directive (European Union)
EPrivacy Regulation (European Union)	GDPR
EPrivacy Regulation (European Union)	General Data Protection Regulation
EPrivacy Regulation (European Union)	NIS Directive
EPrivacy Regulation (European Union)	Privacy and Electronic Communications Directive 2002
EPrivacy Regulation (European Union)	Regulation (European Union)
