Source	Target
Jon Postel	Request for Comments
Kofi Annan	United Nations
Kofi Annan	World Summit on the Information Society
Namespace	Domain name
Namespace	Internet Assigned Numbers Authority
Namespace	Internet Engineering Task Force
Namespace	Internet
Namespace	National Internet registry
Request for Comments	ARPANET
Request for Comments	Internet Architecture Board
Request for Comments	Internet Assigned Numbers Authority
Request for Comments	Internet Engineering Steering Group
Request for Comments	Internet Engineering Task Force
Request for Comments	Internet governance
Request for Comments	Internet
Request for Comments	Internet Research Task Force
Request for Comments	Internet Society
Request for Comments	Jon Postel
United Nations	International Telecommunication Union
United Nations	Kofi Annan
United Nations	World Summit on the Information Society
World Wide Web Consortium	ARPANET
World Wide Web Consortium	Internet Engineering Task Force
World Wide Web Consortium	Internet
World Wide Web Consortium	Internet protocol suite
World Wide Web Consortium	Internet Society
Domain name	ARPANET
Domain name	DNS root zone
Domain name	ICANN
Domain name	Internet Assigned Numbers Authority
Domain name	Internet Engineering Task Force
Domain name	Internet
Domain name	IPv6
Asia-Pacific Network Information Centre	ICANN
Asia-Pacific Network Information Centre	Internet Assigned Numbers Authority
Asia-Pacific Network Information Centre	Internet Society
Asia-Pacific Network Information Centre	IPv4
Asia-Pacific Network Information Centre	IPv6
Asia-Pacific Network Information Centre	National Internet registry
Asia-Pacific Network Information Centre	Number Resource Organization
Asia-Pacific Network Information Centre	Regional Internet registry
Internet Assigned Numbers Authority	American Registry for Internet Numbers
Internet Assigned Numbers Authority	ARPANET
Internet Assigned Numbers Authority	Asia-Pacific Network Information Centre
Internet Assigned Numbers Authority	DNS root zone
Internet Assigned Numbers Authority	ICANN
Internet Assigned Numbers Authority	Internet Architecture Board
Internet Assigned Numbers Authority	Internet Engineering Task Force
Internet Assigned Numbers Authority	Internet Governance Forum
Internet Assigned Numbers Authority	Internet governance
Internet Assigned Numbers Authority	Internet
Internet Assigned Numbers Authority	Internet Society
Internet Assigned Numbers Authority	IPv4
Internet Assigned Numbers Authority	IPv6
Internet Assigned Numbers Authority	Jon Postel
Internet Assigned Numbers Authority	Montevideo Statement
Internet Assigned Numbers Authority	Montevideo Statement on the Future of Internet Cooperation
Internet Assigned Numbers Authority	Namespace
Internet Assigned Numbers Authority	National Internet registry
Internet Assigned Numbers Authority	National Science Foundation
Internet Assigned Numbers Authority	NetMundial Initiative
Internet Assigned Numbers Authority	Number Resource Organization
Internet Assigned Numbers Authority	Regional Internet Registries
Internet Assigned Numbers Authority	Regional Internet registry
Internet Assigned Numbers Authority	Regional Internet Registry
Internet Assigned Numbers Authority	Request for Comments
Internet Assigned Numbers Authority	Réseaux IP Européens Network Coordination Centre
Internet Assigned Numbers Authority	RIPE
Internet Assigned Numbers Authority	Summit (meeting)
Internet Assigned Numbers Authority	World Wide Web Consortium
RIPE	Domain name
RIPE	ICANN
RIPE	Internet Engineering Task Force
RIPE	Internet
RIPE	Regional Internet Registry
National Science Foundation	Charles Babbage Institute
National Science Foundation	DARPA
Internet Engineering Steering Group	Internet Architecture Board
Internet Engineering Steering Group	Internet Assigned Numbers Authority
Internet Engineering Steering Group	Internet Engineering Task Force
Internet Engineering Steering Group	Request for Comments
Internet Architecture Board	DARPA
Internet Architecture Board	ICANN
Internet Architecture Board	Internet Assigned Numbers Authority
Internet Architecture Board	Internet Engineering Steering Group
Internet Architecture Board	Internet Engineering Task Force
Internet Architecture Board	Internet Society
Internet Architecture Board	Request for Comments
Internet Research Task Force	Internet Architecture Board
Internet Research Task Force	Internet Engineering Task Force
Internet Research Task Force	Jon Postel
Digital divide	International Telecommunication Union
Digital divide	Internet Governance Forum
Digital divide	Internet governance
Digital divide	Internet
Digital divide	United Nations
Digital divide	World Summit on the Information Society
Internet Society	Internet Architecture Board
Internet Society	Internet Engineering Steering Group
Internet Society	Internet Engineering Task Force
Internet Society	Internet Governance Forum
Internet Society	Internet governance
Internet Society	Internet
Internet Society	Internet Research Task Force
Internet Society	National Science Foundation
Internet Society	Request for Comments
Internet Society	World Summit on the Information Society
BBN Technologies	ARPANET
BBN Technologies	Charles Babbage Institute
BBN Technologies	DARPA
BBN Technologies	Internet Engineering Task Force
BBN Technologies	National Science Foundation
ARPANET	BBN Technologies
ARPANET	Charles Babbage Institute
ARPANET	DARPA
ARPANET	Internet
ARPANET	Internet protocol suite
ARPANET	Internet Society
ARPANET	National Science Foundation
World Summit on the Information Society	Digital divide
World Summit on the Information Society	ICANN
World Summit on the Information Society	International Telecommunication Union
World Summit on the Information Society	Internet Governance Forum
World Summit on the Information Society	Internet governance
World Summit on the Information Society	Internet Governance
World Summit on the Information Society	United Nations
World Summit on the Information Society	Working Group on Internet Governance
Regional Internet registry	American Registry for Internet Numbers
Regional Internet registry	Asia-Pacific Network Information Centre
Regional Internet registry	Internet Assigned Numbers Authority
Regional Internet registry	Internet Engineering Task Force
Regional Internet registry	Internet governance
Regional Internet registry	Internet
Regional Internet registry	National Internet registry
Regional Internet registry	Number Resource Organization
DNS root zone	ICANN
DNS root zone	Internet Assigned Numbers Authority
DNS root zone	Internet
DNS root zone	IPv4
DNS root zone	IPv6
Governance	Internet governance
Governance	United Nations
Internet organizations	American Registry for Internet Numbers
Internet organizations	Asia-Pacific Network Information Centre
Internet organizations	DARPA
Internet organizations	Internet Architecture Board
Internet organizations	Internet Assigned Numbers Authority
Internet organizations	Internet Engineering Steering Group
Internet organizations	Internet Engineering Task Force
Internet organizations	Internet Governance Forum
Internet organizations	Internet Research Task Force
Internet organizations	Internet Society
Internet organizations	Number Resource Organization
Internet organizations	Working Group on Internet Governance
Internet organizations	World Summit on the Information Society
Internet organizations	World Wide Web Consortium
Working Group on Internet Governance	ICANN
Working Group on Internet Governance	International Telecommunication Union
Working Group on Internet Governance	Internet Governance Forum
Working Group on Internet Governance	Internet governance
Working Group on Internet Governance	Internet
Working Group on Internet Governance	Internet Society
Working Group on Internet Governance	United Nations
Working Group on Internet Governance	World Summit on the Information Society
Charles Babbage Institute	Internet governance
Number Resource Organization	Regional Internet registry
Réseaux IP Européens Network Coordination Centre	ICANN
Réseaux IP Européens Network Coordination Centre	Internet Governance Forum
Réseaux IP Européens Network Coordination Centre	IPv4
Réseaux IP Européens Network Coordination Centre	IPv6
Réseaux IP Européens Network Coordination Centre	Number Resource Organization
Réseaux IP Européens Network Coordination Centre	Regional Internet Registry
Réseaux IP Européens Network Coordination Centre	RIPE
Réseaux IP Européens Network Coordination Centre	World Summit on the Information Society
Internet governance	American Registry for Internet Numbers
Internet governance	ARPANET
Internet governance	Asia-Pacific Network Information Centre
Internet governance	BBN Technologies
Internet governance	DARPA
Internet governance	DNS root zone
Internet governance	Domain name
Internet governance	Global Commission on Internet Governance
Internet governance	Global network
Internet governance	History of the Internet
Internet governance	ICANN
Internet governance	International Telecommunication Union
Internet governance	Internet Architecture Board
Internet governance	Internet Assigned Numbers Authority
Internet governance	Internet censorship
Internet governance	Internet Engineering Steering Group
Internet governance	Internet Engineering Task Force
Internet governance	Internet Governance Forum
Internet governance	Internet
Internet governance	Internet Network Operators' Groups
Internet governance	Internet organizations
Internet governance	Internet protocol suite
Internet governance	Internet Research Task Force
Internet governance	Internet Society
Internet governance	IPv4
Internet governance	IPv6
Internet governance	Jon Postel
Internet governance	Kofi Annan
Internet governance	Laura DeNardis
Internet governance	Montevideo Statement
Internet governance	Namespace
Internet governance	National Science Foundation
Internet governance	NetMundial Initiative
Internet governance	Number Resource Organization
Internet governance	Port (computer networking)
Internet governance	Regional Internet Registries
Internet governance	Regional Internet Registry
Internet governance	Request for Comments
Internet governance	Réseaux IP Européens Network Coordination Centre
Internet governance	RIPE
Internet governance	Summit (meeting)
Internet governance	United Nations
Internet governance	Working Group on Internet Governance
Internet governance	World Summit on the Information Society
Internet governance	World Wide Web Consortium
Internet Governance Forum	Global Commission on Internet Governance
Internet Governance Forum	ICANN
Internet Governance Forum	Internet Architecture Board
Internet Governance Forum	Internet Assigned Numbers Authority
Internet Governance Forum	Internet governance
Internet Governance Forum	Internet Governance
Internet Governance Forum	Internet Society
Internet Governance Forum	Kofi Annan
Internet Governance Forum	Montevideo Statement on the Future of Internet Cooperation
Internet Governance Forum	United Nations
Internet Governance Forum	Working Group on Internet Governance
Internet Governance Forum	World Summit on the Information Society
Summit (meeting)	World Summit on the Information Society
Internet Governance	Internet governance
National Internet registry	Internet governance
National Internet registry	Regional Internet Registry
Port (computer networking)	ARPANET
Port (computer networking)	Internet Assigned Numbers Authority
Port (computer networking)	Internet Engineering Task Force
Port (computer networking)	Jon Postel
Regional Internet Registries	Regional Internet registry
American University School of Communication	Internet governance
American University School of Communication	Laura DeNardis
Regional Internet Registry	Regional Internet registry
Internet censorship	Domain name
Internet censorship	Internet Governance Forum
Internet censorship	Internet
Internet censorship	Internet protocol suite
Internet censorship	Internet Society
Internet Network Operators' Groups	American Registry for Internet Numbers
Internet Network Operators' Groups	Asia-Pacific Network Information Centre
Internet Network Operators' Groups	DNS root zone
Internet Network Operators' Groups	Internet Society
Internet Network Operators' Groups	IPv6
Internet Network Operators' Groups	Regional Internet Registry
Internet Network Operators' Groups	RIPE
Laura DeNardis	American University School of Communication
Laura DeNardis	Global Commission on Internet Governance
Laura DeNardis	Governance
Laura DeNardis	Internet Governance Forum
Laura DeNardis	Internet Governance
Laura DeNardis	Internet governance
Scott Bradner	American Registry for Internet Numbers
Scott Bradner	Internet Assigned Numbers Authority
Scott Bradner	Internet Engineering Task Force
Scott Bradner	Internet governance
Scott Bradner	Internet Society
Scott Bradner	Jon Postel
Global network	History of the Internet
Global network	Internet
Montevideo Statement on the Future of Internet Cooperation	American Registry for Internet Numbers
Montevideo Statement on the Future of Internet Cooperation	Asia-Pacific Network Information Centre
Montevideo Statement on the Future of Internet Cooperation	Internet Architecture Board
Montevideo Statement on the Future of Internet Cooperation	Internet Engineering Task Force
Montevideo Statement on the Future of Internet Cooperation	Internet governance
Montevideo Statement on the Future of Internet Cooperation	Internet
Montevideo Statement on the Future of Internet Cooperation	Internet Society
Montevideo Statement on the Future of Internet Cooperation	Regional Internet Registries
Montevideo Statement on the Future of Internet Cooperation	Réseaux IP Européens Network Coordination Centre
Montevideo Statement on the Future of Internet Cooperation	World Wide Web Consortium
Montevideo Statement	Montevideo Statement on the Future of Internet Cooperation
NetMundial Initiative	Internet Engineering Task Force
NetMundial Initiative	Internet Governance Forum
NetMundial Initiative	Internet Society
Global Commission on Internet Governance	Internet governance
Global Commission on Internet Governance	Laura DeNardis
