Id	LoopRank
Computers and the environment	0.25
Individual action on climate change	0.25
Skylake (microarchitecture)	0.25
BatteryMAX (idle detection)	0.25
Paul Anastas	0.25
Supercomputing in Japan	0.25
Firefox OS	0.25
Compaq Presario F700	0.25
Aquasar	0.25
Mobile app	0.25
Traversed edges per second	0.25
Gameframe	0.25
Resource efficiency	0.25
Supercomputing in Pakistan	0.25
Tom Worthington	0.25
IBM POWER microprocessors	0.25
PlayStation 4 technical specifications	0.25
Yutu (rover)	0.25
USB-C	0.25
Building energy simulation	0.25
Windows 10	0.25
Green engineering	0.25
MacBook (Retina)	0.25
Irish Americans	0.25
WUE	0.25
EPA Safer Choice	0.25
Sustainable electronics	0.25
IBM 3090	0.25
Sunway TaihuLight	0.25
Meltdown (security vulnerability)	0.25
